user_id,age,categorie_age,date_naissance,sexe,zone,niveau_education,annees_experience,etat_matrimonial,nombre_enfants,possede_voiture,possede_logement,possede_terrain,categorie_socioprofessionnelle,secteur_activite,heures_travail_hebdo,couleur_preferee,revenu_annuel
USER_00047,67,Âgé,1958-11-21,Homme,Urbain,Supérieur,18.0,Divorcé,1,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,21231
USER_00049,24,Jeune,2001-11-06,Homme,Urbain,Fondamental,6.0,Marié,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Violet,6506
USER_00050,59,Senior,1966-09-24,Femme,Rural,Fondamental,7.0,Veuf,1,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Public,51.0,Jaune,12600
USER_00051,22,Jeune,2003-04-06,Homme,Rural,Fondamental,2.0,Célibataire,1,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,44.0,Orange,6867
USER_00055,80,Âgé,1945-04-22,Femme,Rural,Fondamental,25.0,Célibataire,0,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Public,42.0,Violet,12527
USER_00056,52,Senior,1973-06-27,Homme,Urbain,Fondamental,0.0,Marié,1,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,35.0,Blanc,4857
USER_00057,56,Senior,1969-01-08,Femme,Urbain,Sans niveau,28.0,Marié,5,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,55.0,Vert,18908
USER_00058,68,Âgé,1957-01-26,Femme,Urbain,Sans niveau,40.0,Veuf,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Rouge,9847
USER_00060,27,Jeune,1998-05-03,Femme,Urbain,Secondaire,0.0,Célibataire,0,1.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Public,47.0,Violet,25443
USER_00061,54,Senior,1971-04-19,Femme,Urbain,Fondamental,9.0,Marié,4,1.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,40.0,Rouge,19873
USER_00062,78,Âgé,1947-12-11,Femme,Rural,Sans niveau,34.0,Marié,2,1.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,57.0,Bleu,6374
USER_00064,20,Jeune,2005-08-13,Homme,Urbain,Fondamental,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,4378
USER_00065,31,Adulte,1994-11-15,Femme,Urbain,Supérieur,3.0,Marié,4,1.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Public,41.0,Blanc,57588
USER_00066,64,Senior,1961-03-09,Femme,Urbain,Supérieur,13.0,Célibataire,0,1.0,0.0,0.0,Groupe 1: Cadres supérieurs/Directeurs,Sans emploi,0.0,Jaune,32595
USER_00068,62,Senior,1963-12-18,Femme,Urbain,Secondaire,15.0,Marié,3,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Sans emploi,0.0,Violet,6828
USER_00069,66,Âgé,1959-09-09,Femme,Rural,Sans niveau,3.0,Marié,3,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,45.0,Vert,3000
USER_00070,69,Âgé,1956-12-19,Homme,Rural,Fondamental,17.0,Marié,3,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Public,35.0,Vert,19555
USER_00071,21,Jeune,2004-07-19,Femme,Urbain,Supérieur,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Public,50.0,Noir,27044
USER_00072,68,Âgé,1957-07-12,Femme,Urbain,Fondamental,38.0,Marié,3,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,37.0,Violet,38994
USER_00075,32,Adulte,1993-02-25,Homme,Rural,Fondamental,12.0,Marié,5,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,49.0,Vert,9772
USER_00076,26,Jeune,1999-01-28,Homme,Rural,Secondaire,5.0,Marié,0,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,41.0,Violet,19431
USER_00078,19,Jeune,2006-11-06,Femme,Urbain,Fondamental,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,58.0,Vert,6957
USER_00079,56,Senior,1969-11-14,Femme,Urbain,Secondaire,12.0,Veuf,0,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,46.0,Vert,48942
USER_00080,58,Senior,1967-10-03,Femme,Rural,Sans niveau,20.0,Marié,6,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,45.0,Rouge,10443
USER_00082,47,Adulte,1978-10-15,Homme,Urbain,Sans niveau,4.0,Marié,3,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Sans emploi,0.0,Vert,5865
USER_00084,34,Adulte,1991-09-28,Homme,Urbain,Fondamental,8.0,Marié,2,0.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,63.0,Jaune,13462
USER_00085,20,Jeune,2005-01-22,Femme,Urbain,Sans niveau,1.0,Célibataire,0,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé formel,55.0,Jaune,9580
USER_00086,26,Jeune,1999-12-04,Homme,Rural,Secondaire,8.0,Célibataire,0,1.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Public,38.0,Orange,36763
USER_00087,25,Jeune,2000-11-18,Homme,Rural,Sans niveau,6.0,Marié,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé formel,41.0,Blanc,4998
USER_00089,73,Âgé,1952-11-11,Homme,Urbain,Secondaire,11.0,Marié,4,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Violet,9889
USER_00090,34,Adulte,1991-02-10,Homme,Urbain,Fondamental,13.0,Marié,3,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,67.0,Noir,17897
USER_00092,25,Jeune,2000-08-01,Femme,Rural,Fondamental,7.0,Célibataire,0,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,32.0,Blanc,5985
USER_00095,71,Âgé,1954-03-17,Femme,Urbain,Secondaire,29.0,Veuf,1,0.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Sans emploi,0.0,Noir,26763
USER_00097,35,Adulte,1990-11-10,Femme,Urbain,Fondamental,4.0,Marié,0,1.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,29.0,Orange,9239
USER_00098,66,Âgé,1959-11-17,Homme,Urbain,Sans niveau,28.0,Marié,5,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,38.0,Bleu,37861
USER_00100,56,Senior,1969-03-12,Homme,Urbain,Fondamental,14.0,Marié,4,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Orange,10047
USER_00101,69,Âgé,1956-03-18,Femme,Rural,Sans niveau,7.0,Marié,5,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Privé formel,50.0,Bleu,5519
USER_00102,64,Senior,1961-09-01,Femme,Urbain,Secondaire,9.0,Marié,2,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,47.0,Vert,16958
USER_00103,44,Adulte,1981-10-11,Homme,Urbain,Fondamental,14.0,Marié,2,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,48.0,Vert,29431
USER_00105,24,Jeune,2001-02-12,Homme,Urbain,Fondamental,5.0,Célibataire,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,24.0,Noir,11586
USER_00109,56,Senior,1969-02-24,Homme,Urbain,Fondamental,12.0,Marié,4,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,36.0,Bleu,16320
USER_00110,36,Adulte,1989-08-27,Homme,Urbain,Fondamental,8.0,Célibataire,0,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,61.0,Blanc,22637
USER_00111,23,Jeune,2002-02-25,Homme,Urbain,Fondamental,4.0,Célibataire,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Violet,3199
USER_00114,29,Jeune,1996-11-16,Femme,Rural,Supérieur,5.0,Marié,1,1.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,48.0,Orange,35998
USER_00115,32,Adulte,1993-09-06,Homme,Rural,Secondaire,9.0,Célibataire,0,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,54.0,Jaune,21725
USER_00116,62,Senior,1963-05-17,Femme,Rural,Secondaire,14.0,Marié,3,0.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,39.0,Vert,32238
USER_00120,75,Âgé,1950-04-23,Homme,Rural,Sans niveau,11.0,Divorcé,1,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Rouge,3000
USER_00123,18,Jeune,2007-06-15,Femme,Urbain,Secondaire,0.0,Célibataire,0,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Noir,5373
USER_00124,24,Jeune,2001-09-15,Femme,Urbain,Supérieur,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,62.0,Violet,43980
USER_00126,18,Jeune,2007-04-03,Homme,Rural,Fondamental,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,31.0,Orange,4378
USER_00128,64,Senior,1961-10-18,Femme,Urbain,Secondaire,11.0,Marié,2,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,14502
USER_00129,53,Senior,1972-04-19,Femme,Urbain,Fondamental,20.0,Marié,1,0.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,57.0,Blanc,16713
USER_00130,27,Jeune,1998-04-01,Femme,Urbain,Fondamental,6.0,Divorcé,2,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,28.0,Rouge,11469
USER_00132,40,Adulte,1985-11-02,Femme,Urbain,Fondamental,1.0,Marié,1,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,62.0,Jaune,7649
USER_00133,56,Senior,1969-04-03,Homme,Urbain,Sans niveau,10.0,Divorcé,3,1.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,66.0,Jaune,10257
USER_00134,46,Adulte,1979-01-28,Femme,Rural,Fondamental,7.0,Célibataire,0,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,32.0,Bleu,6666
USER_00136,36,Adulte,1989-09-08,Homme,Urbain,Sans niveau,17.0,Célibataire,0,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,78.0,Jaune,12305
USER_00137,55,Senior,1970-05-22,Homme,Rural,Secondaire,5.0,Marié,4,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,33.0,Orange,23788
USER_00139,37,Adulte,1988-09-05,Homme,Rural,Secondaire,11.0,Marié,3,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Bleu,3000
USER_00142,52,Senior,1973-04-26,Homme,Urbain,Fondamental,17.0,Marié,2,1.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,80.0,Rouge,30459
USER_00144,77,Âgé,1948-07-07,Homme,Urbain,Sans niveau,9.0,Veuf,1,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,41.0,Blanc,18583
USER_00145,66,Âgé,1959-02-04,Femme,Urbain,Fondamental,8.0,Marié,3,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Public,37.0,Violet,11965
USER_00148,72,Âgé,1953-07-15,Homme,Urbain,Sans niveau,11.0,Marié,3,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,7792
USER_00149,67,Âgé,1958-12-02,Femme,Urbain,Secondaire,12.0,Marié,5,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,64.0,Noir,18272
USER_00150,34,Adulte,1991-11-21,Homme,Rural,Supérieur,15.0,Célibataire,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Rouge,6184
USER_00151,65,Âgé,1960-11-04,Femme,Urbain,Fondamental,35.0,Marié,4,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Privé formel,46.0,Bleu,44309
USER_00153,19,Jeune,2006-12-11,Homme,Urbain,Fondamental,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,80.0,Violet,6173
USER_00154,22,Jeune,2003-02-08,Homme,Rural,Fondamental,0.0,Célibataire,0,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,80.0,Vert,7129
USER_00155,79,Âgé,1946-04-07,Femme,Urbain,Secondaire,6.0,Marié,3,1.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,47.0,Blanc,57465
USER_00157,30,Adulte,1995-03-14,Homme,Rural,Fondamental,6.0,Célibataire,0,1.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,44.0,Vert,19202
USER_00159,28,Jeune,1997-08-08,Homme,Rural,Sans niveau,10.0,Marié,0,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,36.0,Orange,6195
USER_00160,41,Adulte,1984-02-15,Homme,Urbain,Fondamental,0.0,Célibataire,0,1.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,52.0,Orange,5894
USER_00162,44,Adulte,1981-01-21,Femme,Rural,Fondamental,20.0,Célibataire,0,1.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,39.0,Violet,3642
USER_00163,72,Âgé,1953-09-27,Homme,Urbain,Sans niveau,16.0,Marié,0,1.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Rouge,4522
USER_00165,35,Adulte,1990-04-06,Homme,Rural,Fondamental,17.0,Marié,4,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,38.0,Orange,7117
USER_00171,60,Senior,1965-05-26,Femme,Urbain,Fondamental,11.0,Marié,5,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,44.0,Blanc,6440
USER_00175,68,Âgé,1957-09-22,Femme,Urbain,Fondamental,37.0,Marié,1,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Privé informel,24.0,Rouge,33028
USER_00176,69,Âgé,1956-12-16,Homme,Rural,Secondaire,32.0,Divorcé,2,1.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,54.0,Orange,33723
USER_00177,72,Âgé,1953-03-07,Femme,Urbain,Fondamental,4.0,Marié,3,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,5017
USER_00178,38,Adulte,1987-05-07,Femme,Rural,Sans niveau,20.0,Célibataire,0,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,54.0,Violet,6930
USER_00181,31,Adulte,1994-01-24,Femme,Urbain,Sans niveau,1.0,Célibataire,0,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Public,41.0,Blanc,13625
USER_00182,23,Jeune,2002-06-02,Homme,Rural,Sans niveau,0.0,Célibataire,1,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Sans emploi,41.0,Vert,3000
USER_00186,48,Adulte,1977-01-17,Femme,Rural,Sans niveau,5.0,Célibataire,0,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,65.0,Blanc,4753
USER_00187,64,Senior,1961-02-28,Homme,Urbain,Supérieur,11.0,Divorcé,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Bleu,17235
USER_00188,45,Adulte,1980-03-03,Femme,Urbain,Secondaire,24.0,Célibataire,0,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,49.0,Violet,49696
USER_00196,53,Senior,1972-07-22,Femme,Rural,Fondamental,10.0,Marié,4,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,42.0,Noir,5470
USER_00197,41,Adulte,1984-10-19,Homme,Rural,Fondamental,17.0,Marié,1,1.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,41.0,Jaune,39952
USER_00198,29,Jeune,1996-09-11,Homme,Rural,Sans niveau,10.0,Marié,0,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Bleu,3000
USER_00199,41,Adulte,1984-05-07,Homme,Rural,Secondaire,6.0,Marié,2,0.0,0.0,0.0,Groupe 1: Cadres supérieurs/Directeurs,Public,43.0,Orange,35174
USER_00201,45,Adulte,1980-06-08,Homme,Urbain,Fondamental,4.0,Marié,1,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Sans emploi,0.0,Vert,3000
USER_00202,33,Adulte,1992-05-13,Homme,Urbain,Fondamental,0.0,Célibataire,0,1.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Blanc,3000
USER_00203,38,Adulte,1987-03-22,Femme,Rural,Fondamental,3.0,Célibataire,0,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,46.0,Vert,9231
USER_00204,47,Adulte,1978-11-10,Homme,Rural,Secondaire,2.0,Veuf,0,1.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,40.0,Bleu,24976
USER_00206,43,Adulte,1982-02-01,Femme,Urbain,Fondamental,16.0,Divorcé,1,1.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,9.0,Vert,13118
USER_00207,71,Âgé,1954-08-20,Femme,Rural,Sans niveau,20.0,Veuf,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Bleu,3000
USER_00208,52,Senior,1973-10-04,Femme,Urbain,Sans niveau,2.0,Marié,2,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,47.0,Violet,8402
USER_00209,48,Adulte,1977-02-18,Femme,Urbain,Fondamental,3.0,Marié,3,1.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Public,51.0,Vert,22554
USER_00210,77,Âgé,1948-04-17,Femme,Urbain,Sans niveau,18.0,Veuf,0,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,37.0,Orange,12268
USER_00211,33,Adulte,1992-05-05,Homme,Rural,Fondamental,1.0,Marié,1,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,61.0,Jaune,8452
USER_00212,75,Âgé,1950-06-03,Femme,Rural,Fondamental,36.0,Veuf,2,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Violet,3853
USER_00213,59,Senior,1966-04-12,Femme,Urbain,Sans niveau,12.0,Marié,2,0.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,30.0,Vert,10376
USER_00214,46,Adulte,1979-05-06,Femme,Rural,Fondamental,2.0,Divorcé,1,1.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,62.0,Violet,6367
USER_00215,46,Adulte,1979-08-27,Homme,Urbain,Sans niveau,11.0,Marié,2,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,58.0,Jaune,9993
USER_00216,26,Jeune,1999-09-23,Homme,Urbain,Sans niveau,2.0,Célibataire,1,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,27.0,Bleu,10386
USER_00217,31,Adulte,1994-05-20,Femme,Rural,Supérieur,4.0,Marié,2,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,43.0,Bleu,32346
USER_00218,74,Âgé,1951-11-17,Femme,Rural,Sans niveau,14.0,Marié,2,1.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé informel,49.0,Bleu,9972
USER_00219,25,Jeune,2000-01-22,Homme,Rural,Fondamental,0.0,Divorcé,1,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,64.0,Violet,6013
USER_00220,19,Jeune,2006-09-10,Femme,Rural,Fondamental,0.0,Marié,3,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Orange,3000
USER_00221,28,Jeune,1997-11-04,Femme,Urbain,Fondamental,2.0,Marié,1,1.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Violet,4727
USER_00222,19,Jeune,2006-03-09,Homme,Urbain,Fondamental,0.0,Célibataire,0,1.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,55.0,Orange,6636
USER_00223,76,Âgé,1949-02-04,Homme,Urbain,Sans niveau,14.0,Marié,1,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,41.0,Rouge,16527
USER_00226,22,Jeune,2003-05-20,Homme,Rural,Secondaire,0.0,Célibataire,0,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,41.0,Bleu,18646
